web_scraper_order,web_scraper_start_url,brand,name,price,url,image
"1784124965-861","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Aloe Soothing Sun Cream 50ml","Rs 2,000","https://koreanbeautypoint.com/shop/cosrx-aloe-spf-aloe-soothing-sun-cream-50ml-4517","https://koreanbeautypoint.com/web/image/product.product/8146/image_1024/%5Bcosrx%20aloe%20spf%5D%20Aloe%20Soothing%20Sun%20Cream%2050ml?unique=affe57f"
"1784124965-862","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","AHA 7 Whitehead Power Liquid 100ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-aha-liquid-aha-7-whitehead-power-liquid-100ml-4516","https://koreanbeautypoint.com/web/image/product.product/8145/image_1024/%5Bcosrx%20AHA%20liquid%5D%20AHA%207%20Whitehead%20Power%20Liquid%20100ml?unique=433b209"
"1784124965-863","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Aha/Bha Clarifying Treatment Toner","Rs 1,000","https://koreanbeautypoint.com/shop/ahabha-clarifying-treatment-toner-4358","https://koreanbeautypoint.com/web/image/product.product/7948/image_1024/%5Bcosrx%20AHA%20BHA%20toner%5D%20Aha-Bha%20Clarifying%20Treatment%20Toner%20%28150ml%29?unique=433b209"
"1784124965-864","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Advanced Snail 92 All In One Cream","Rs 3,000","https://koreanbeautypoint.com/shop/advanced-snail-92-all-in-one-cream-4355","https://koreanbeautypoint.com/web/image/product.product/7944/image_1024/%5Bcosrx%20snail%20cream%5D%20Advanced%20Snail%2092%20All%20In%20One%20Cream%20%28Tub%29?unique=6de78fe"
"1784124965-865","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Low Ph Good Morning Gel Cleanser","Rs 750","https://koreanbeautypoint.com/shop/low-ph-good-morning-gel-cleanser-4806","https://koreanbeautypoint.com/web/image/product.product/8602/image_1024/%5Bcosrx%20low%20ph%20cleanser%5D%20Low%20Ph%20Good%20Morning%20Gel%20Cleanser%20%28150ml%29?unique=ddf1213"
"1784124965-866","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Salicylic Acid Daily Gentle Cleanser","Rs 800","https://koreanbeautypoint.com/shop/salicylic-acid-daily-gentle-cleanser-5049","https://koreanbeautypoint.com/web/image/product.product/8975/image_1024/%5Bcosrx%20salicylic%20cleanser%5D%20Salicylic%20Acid%20Daily%20Gentle%20Cleanser%20%28150ml%29?unique=9349abc"
"1784124965-867","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Vitamin E Vitalizing Sunscreen","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-vita-e-spf-vitamin-e-vitalizing-sunscreen-8735","https://koreanbeautypoint.com/web/image/product.product/15493/image_1024/%5Bcosrx%20vita%20e%20spf%5D%20Vitamin%20E%20Vitalizing%20Sunscreen?unique=55d672c"
"1784124965-868","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Master Patch X-Large 10 Patch","Rs 1,300","https://koreanbeautypoint.com/shop/cosrx-x-large-pimple-patch-master-patch-x-large-10-patch-4553","https://koreanbeautypoint.com/web/image/product.product/8182/image_1024/%5Bcosrx%20X-large%20pimple%20patch%5D%20Master%20Patch%20X-Large%2010%20Patch?unique=affe57f"
"1784124965-869","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Advanced Snail Hydrogel Eye Patch 60 Patches","Rs 3,400","https://koreanbeautypoint.com/shop/cosrx-snail-eye-patch-advanced-snail-hydrogel-eye-patch-60-patches-4549","https://koreanbeautypoint.com/web/image/product.product/8178/image_1024/%5Bcosrx%20snail%20eye%20patch%5D%20Advanced%20Snail%20Hydrogel%20Eye%20Patch%2060%20Patches?unique=affe57f"
"1784124965-870","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Ultimate Nourishing Rice Overnight Spa Mask 60ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-rice-spa-mask-ultimate-nourishing-rice-overnight-spa-mask-60ml-4544","https://koreanbeautypoint.com/web/image/product.product/8173/image_1024/%5Bcosrx%20rice%20spa%20mask%5D%20Ultimate%20Nourishing%20Rice%20Overnight%20Spa%20Mask%2060ml?unique=affe57f"
"1784124965-871","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","The Retinol 0.3 Cream 20ml","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-retinol-03-cream-the-retinol-03-cream-20ml-4542","https://koreanbeautypoint.com/web/image/product.product/8171/image_1024/%5Bcosrx%20retinol%200.3%20cream%5D%20The%20Retinol%200.3%20Cream%2020ml?unique=affe57f"
"1784124965-872","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","The Retinol 0.1 Cream 20ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-retinol-01-cream-the-retinol-01-cream-20ml-4541","https://koreanbeautypoint.com/web/image/product.product/8170/image_1024/%5Bcosrx%20retinol%200.1%20cream%5D%20The%20Retinol%200.1%20Cream%2020ml?unique=339e199"
"1784124965-873","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Pure Fit Cica Cleanser 150ml","Rs 2,000","https://koreanbeautypoint.com/shop/cosrx-pure-fit-cica-cleanser-pure-fit-cica-cleanser-150ml-4539","https://koreanbeautypoint.com/web/image/product.product/8168/image_1024/%5Bcosrx%20pure%20fit%20cica%20cleanser%5D%20Pure%20Fit%20Cica%20Cleanser%20150ml?unique=affe57f"
"1784124965-874","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Full Fit Propolis Synergy Toner 150ml","Rs 2,700","https://koreanbeautypoint.com/shop/cosrx-propolis-toner-full-fit-propolis-synergy-toner-150ml-4538","https://koreanbeautypoint.com/web/image/product.product/8167/image_1024/%5Bcosrx%20propolis%20toner%5D%20Full%20Fit%20Propolis%20Synergy%20Toner%20150ml?unique=6917635"
"1784124965-875","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Full Fit Propolis Light Ampoule - 30ml","Rs 3,600","https://koreanbeautypoint.com/shop/cosrx-propolis-ampoule-full-fit-propolis-light-ampoule-30ml-4536","https://koreanbeautypoint.com/web/image/product.product/8165/image_1024/%5Bcosrx%20propolis%20ampoule%5D%20Full%20Fit%20Propolis%20Light%20Ampoule%20-%2030ml?unique=affe57f"
"1784124965-876","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Peptide 132 Ultra Perfect Hair Bonding Oil Serum 28ml","Rs 2,300","https://koreanbeautypoint.com/shop/cosrx-peptide-hair-serum-peptide-132-ultra-perfect-hair-bonding-oil-serum-28ml-4534","https://koreanbeautypoint.com/web/image/product.product/8163/image_1024/%5Bcosrx%20peptide%20hair%20serum%5D%20Peptide%20132%20Ultra%20Perfect%20Hair%20Bonding%20Oil%20Serum%2028ml?unique=affe57f"
