web_scraper_order,web_scraper_start_url,category,name,price,image,url
"1784116343-10240","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Black) 4/64 GB
AI PULSE-0G","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(black)-4-64-gb-4306"
"1784116343-10241","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Blue) 4/64 GB
AI PULSE-0F","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(blue)-4-64-gb-4305"
"1784116343-10242","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Pink) 6/128 GB
AI PULSE-0E","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(pink)-6-128-gb-4304"
"1784116343-10243","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Green) 6/128 GB
AI PULSE-0D","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(green)-6-128-gb-4303"
"1784116343-10244","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Sparkle Red) 8/128 GB
AI NOVA-0L","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(sparkle-red)-8-128-gb-4683"
"1784116343-10245","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Blue Color
A069 NOTHING PHONE (4A) 12+256 BLUE","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-blue-color-4579"
"1784116343-10246","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Pink Color
A069 NOTHING PHONE (4A) 12+256 PINK","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-pink-color-4578"
"1784116343-10247","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | White Color
A069 NOTHING PHONE (4A) 8+256 WHITE","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-white-color-4577"
"1784116343-10248","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+256 BLACK","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-black-color-4576"
"1784116343-10249","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 128GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+128 BLACK","NPR64,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-128gb-storage-%7C-black-color-4574"
"1784116343-10250","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Orange
D399 CMF WATCH 3 PRO ORANGE","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---orange-4541"
"1784116343-10251","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Grey
D399 CMF WATCH 3 PRO LIGHT GREY","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-grey-4540"
"1784116343-10252","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Green
D399 CMF WATCH 3 PRO LIGHT GREEN","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-green-4539"
"1784116343-10253","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Ear - Black
B171 NOTHING EAR BLACK","NPR22,999","","https://cgdigital.com.np/product-ear---black-4538"
"1784116343-10254","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Greener Pastures Color
G96 MOTO XT2531-2 (8+256) GP GREENER PASTURES","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-greener-pastures-color-4532"
"1784116343-10255","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Ashleigh Blue Color
G96 MOTO XT2531-2 (8+256) AB ASHLEIGH BLUE","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-ashleigh-blue-color-4531"
"1784116343-10256","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Sparkle Red) 8/128 GB
AI NOVA-0L","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(sparkle-red)-8-128-gb-4683"
"1784116343-10257","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Blue Color
A069 NOTHING PHONE (4A) 12+256 BLUE","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-blue-color-4579"
